"Time [s]"	"X-Loc. [mm]"	"Energy [eu]"
662.172729	13.2978344	60.7029686
662.194153	15.483778	104.843483
662.202515	1.54838526	41.0936432
662.206299	3.64324832	35.7811584
662.227661	13.5710773	31.0155449
662.241882	10.5654039	127.187172
662.30365	12.5691862	84.9997787
662.331299	14.6640491	401.248962
662.347473	18.4894505	21.7577572
662.455139	13.5710773	57.7342262
662.457031	13.4799967	44.7655106
662.591431	8.38190317E-006	18.7499523
662.730103	13.8443203	514.998657
662.842651	8.56162262	137.499649
662.949341	17.1232376	69.5310745
663.11499	21.9505272	23.3593159
663.12854	11.2029715	17.1483936
663.250366	13.3889151	518.123657
663.299255	12.6602669	59.5310974
663.366821	19.3091793	1884.99512
663.609497	2.91460013	39.1405258
663.655334	7.19540739	128.280914
663.768433	11.1118898	1108.74719
663.874146	14.3908062	25.4296227
663.910278	2.0037899	42.4217682
663.919373	16.3035069	42.9686394
664.07843	15.0283737	771.248047
664.151062	12.0227003	99.5309982
664.305298	12.4781055	30.8592968
664.461243	7.46865034	59.6092224
664.674561	8.10621643	54.4529839
664.797913	11.3851337	136.093399
664.819458	22.0416107	24.6093121
665.223511	15.0283737	38.6327133
665.236145	12.8424292	83.1247864
665.279358	14.5729685	108.437225
665.283203	16.3035069	58.8279762
665.295227	3.82541037	28.32024
665.366028	9.0170269	32.7342911
665.50415	17.1232376	35.7030334
665.513611	10.1099997	448.74884
665.59375	10.5654039	112.81221
665.62561	16.9410744	43.5936394
665.62854	15.0283737	60.6248436
665.637329	14.2086449	96.4060059
665.698975	2.55027652	54.9217339
665.851807	17.4875603	92.6560135
665.918762	16.3035069	41.2498932
666.005493	11.7494574	616.873413
666.05896	13.8443203	82.4997864
666.245605	14.2997255	32.6952286
666.275574	13.1156721	39.4530258
666.377075	13.5710773	87.1872787
666.612671	13.0245905	71.0154419
666.651794	8.19729805	28.5936775
666.664429	12.3870239	18.2421417
666.747375	14.1175632	83.9060364
666.754761	2.36811447	49.7654991
666.892578	7.92405558	111.093468
666.982666	-1.00188231	27.8905544
667.132629	17.5786419	63.0467148
667.144226	13.2067528	116.093452
667.150818	15.3016167	41.5623932
667.185913	15.1194534	65.6248322
667.255249	8.56162262	81.562294
667.305603	14.8462114	518.748657
667.480408	15.3016167	53.5936127
667.541565	10.8386478	35.1952209
667.587219	11.7494574	43.2811394
667.715576	15.210535	148.124619
667.91803	17.1232376	61.1717186
668.110779	12.3870239	16.6210518
668.118286	11.4762144	48.0467529
668.155029	12.1137819	51.3279953
668.3479	10.6564856	325.624176
668.496643	5.00946283	97.8122482
668.566956	1.27514267	17.4804249
668.595581	5.55594921	42.5780144
668.731506	1.91270936	61.5623436
669.280518	9.5635128	106.718475
669.286743	-1.91269255	25.3905602
669.444946	16.2124252	247.811859
669.524353	9.83675671	16.4257393
669.587341	15.5748596	38.0077133
669.631836	8.65270329	22.1093178
669.638428	17.9429646	58.1248512
669.739197	3.00568104	33.6717873
